id_proposicao,obj_votacao,data,cod_sessao,hora,id_votacao
2192459,DTQ. 10 - PT -  ART. 203 DA CF/88 NA REDAÇÃO DADA PELO ART. 1º DA PEC 6/2019,2019-08-07,16889,17:35,168891735
2192459,"DTQ. 11 - PT -  § 14 DO ART. 195 DA CF/88, NA REDAÇÃO DO ART. 1º DA PEC 6/2019",2019-08-07,16888,13:20,168881320
2192459,VOTAÇÃO DA ADMISSIBILIDADE EM GLOBO DOS DESTAQUES SIMPLES,2019-08-06,16887,23:32,168872332
2192459,REQUERIMENTO DE RETIRADA DE PAUTA,2019-08-07,16888,12:36,168881236
2193540,DTQ 5 - NOVO - EMENDA  Nº 4,2019-04-02,16768,18:05,167681805
2193540,DTQ. 3 - PT - EMENDA Nº 1 DO SENADO FEDERAL,2019-04-24,16788,17:34,167881734
2193564,SUBSTITUTIVO DA CFT,2019-05-08,16800,19:50,168001950
2193564,REQUERIMENTO DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES,2019-05-08,16800,17:46,168001746
2193564,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-05-08,16800,19:18,168001918
2193564,REQ. DE VOTAÇÃO NOMINAL DO REQ. DE ADIAMENTO DA DISCUSSÃO POR 2 SESSÕES,2019-05-08,16800,17:11,168001711
2193696,SUBSTITUTIVO,2019-07-03,16852,18:46,168521846
2194124,SUBSTITUTIVO DA CMO,2019-06-11,16832,18:43,168321843
2194124,SUBSTITUTIVO DA CMO,2019-06-11,16832,19:09,168321909
2194357,URGÊNCIA PARA APRECIAÇÃO DO PL Nº 888/2019,2019-03-26,16760,16:32,167601632
2194540,URGÊNCIA PARA APRECIAÇÃO DO PLP Nº 55/2019,2019-03-26,16760,17:19,167601719
2197160,SUBSTITUTIVO DA COMISSÃO ESPECIAL - PRIMEIRO TURNO,2019-06-05,16828,13:47,168281347
2197160,"DTQ 3 - PDT - EXP: ""...DE INICIATIVA DO PRESIDENTE...""",2019-06-05,16828,14:54,168281454
2197160,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,2019-06-05,16828,15:00,168281500
2197160,DTQ 1 - PSOL - § 1º DO ART 167,2019-06-05,16828,14:18,168281418
2197160,DTQ 2 - PRB - § 17 DO ART. 166,2019-06-05,16828,13:57,168281357
2197504,PROPOSTA DE EMENDA À CONSTITUIÇÃO - SEGUNDO TURNO,2019-11-19,16991,21:10,169912110
2197504,SUBSTITUTIVO DA COMISSÃO ESPECIAL,2019-11-19,16991,20:52,169912052
2198229,DESTAQUE Nº 6 - PT/CD - ARTIGO 22 (SALÁRIO MÍNIMO).,2019-10-09,16953,14:53,169531453
2199310,REQUERIMENTO DE RETIRADA DE PAUTA,2019-08-20,16901,18:33,169011833
2199310,PARECER DA C.M P/ ATEND. DOS PRESSUPOSTOS CONSTITUCIONAIS...,2019-08-20,16902,21:03,169022103
2199310,REQUERIMENTO DE VOTAÇÃO NOMINAL DO REQ. DE RETIRADA DE PAUTA,2019-08-20,16901,17:25,169011725
2199310,REQUERIMENTO DE ADIAMENTO DA VOTAÇÃO POR 2 SESSÕES,2019-08-20,16901,19:18,169011918
2199310,REQUERIMENTO DE VOTAÇÃO ARTIGO POR ARTIGO,2019-08-20,16901,19:43,169011943
2199310,REQUERIMENTO DE RETIRADA DE PAUTA,2019-08-20,16902,20:17,169022017
