id_parlamentar,casa,nome_eleitoral,uf,partido_atual,partido_eleicao,total_receita_partido,total_receita_candidato,indice_investimento_partido
178951,camara,RAFAEL MOTTA,RN,PSB,PSB,1510000,1510000,0.0218828964647819
74161,camara,REGINALDO LOPES,MG,PT,PT,930000,1056430.62,0.0107516603001146
178925,camara,REJANE DIAS,PI,PT,PT,1005000,1149971.1,0.00796877783800081
178989,camara,RENATA ABREU,SP,PODEMOS,PODEMOS,2030159.55,2030159.55,0.124876575142024
73788,camara,RICARDO BARROS,PR,PP,PP,1709838.83,1994838.83,0.0154830281024292
160655,camara,RICARDO IZAR,SP,PP,PP,1960692,2288627,0.0213329811531467
178920,camara,RICARDO TEOBALDO,PE,PODEMOS,PODEMOS,1000000,1007770,0.0463256924929105
152610,camara,ROBERTO ALVES,SP,REPUBLICANOS,PRB,1241710.86,1297210.86,0.0200041298157414
160653,camara,ROBERTO DE LUCENA,SP,PODEMOS,PODEMOS,981000,1244938,0.0603420160816059
141531,camara,RODRIGO DE CASTRO,MG,PSDB,PSDB,1296126.03,1776495.19,0.0173944313390873
74693,camara,RODRIGO MAIA,RJ,DEM,DEM,717600,1829816.95,0.0229747883208408
160651,camara,ROGÉRIO PENINHA MENDONÇA,SC,MDB,MDB,1300000,1368815.5,0.0108256421149727
178861,camara,RONALDO CARLETTO,BA,PP,PP,1315252,1641584.8,0.010777207207813
122466,camara,RONALDO MARTINS,CE,REPUBLICANOS,PRB,919020,1141661.17,0.0100187249347362
178945,camara,ROSANGELA GOMES,RJ,REPUBLICANOS,PRB,1431242.27,1444572.27,0.0297087566753976
73466,camara,RUBENS BUENO,PR,CIDADANIA,CIDADANIA,1168128.11,1268662.11,0.0593984048130275
74371,camara,RUBENS OTONI,GO,PT,PT,903597.15,920713.82,0.00877747157800453
178990,camara,SAMUEL MOREIRA,SP,PSDB,PSDB,500000,1656350.49,0.00818298109411081
178921,camara,SEBASTIÃO OLIVEIRA,PE,PL,PL,1400000,1553743.12,0.0117152756007967
73808,camara,SÉRGIO BRITO,BA,PSD,PSD,800000,847408,0.0127580728969784
178933,camara,SERGIO SOUZA,PR,MDB,MDB,1500000,1870944.05,0.0135748984877269
178874,camara,SERGIO VIDIGAL,ES,PDT,PDT,699896.7,903588.57,0.0303432378549436
178961,camara,SHÉRIDAN,RR,PSDB,PSDB,2000000,2342527.5,0.0301091649641012
74356,camara,SILAS CÂMARA,AM,REPUBLICANOS,PRB,1508380,1532199.59,0.0164589147496918
178946,camara,SORAYA SANTOS,RJ,PL,PL,2409096,2415096,0.0344889209930397
178947,camara,SÓSTENES CAVALCANTE,RJ,DEM,DEM,1150000,1234317.25,0.0368185710269884
92776,camara,STEFANO AGUIAR,MG,PSD,PSD,351603.75,375073.75,0.00610541178591753
177282,camara,SUBTENENTE GONZAGA,MG,PDT,PDT,500000,541045.51,0.0302139990970254
178922,camara,TADEU ALENCAR,PE,PSB,PSB,1319094.7,1384088.2,0.0206090726042545
160976,camara,TIRIRICA,SP,PL,PL,1203200,1203200,0.0133687618295556
178934,camara,TONINHO WANDSCHEER,PR,PROS,PROS,141600,1952753.39,0.00588235419140406
178863,camara,ULDURICO JUNIOR,BA,PROS,PPL,98000,237725.9,0.186822723118919
195866,camara,VAIDON OLIVEIRA,CE,PROS,PROS,785735.64,874686.74,0.0265395846796248
160610,camara,VALMIR ASSUNÇÃO,BA,PT,PT,900000,988162.5,0.00955583682541757
74376,camara,VANDER LOUBET,MS,PT,PT,735098,888711.13,0.00857556003228242
141553,camara,VANDERLEI MACRIS,SP,PSDB,PSDB,1300000,2217566,0.0212757508446881
74283,camara,VICENTINHO,SP,PT,PT,902796.23,940827.67,0.0127280204195462
137070,camara,VICENTINHO JÚNIOR,TO,PL,PL,850000,1392484,0.00584593941743867
141555,camara,VINICIUS CARVALHO,SP,REPUBLICANOS,PRB,1221650.5,1243290.5,0.0196809547042742
