id_req,id,peso_arestas
67032,73645,1
67047,74585,1
67102,73486,1
67118,73434,1
67237,74856,0.5
67237,178884,0.5
67405,73470,1
67438,73466,1
69632,74419,1
89464,73832,1
89473,73832,1
89474,73832,1
89582,74419,1
90042,73832,1
90401,74451,1
90437,73555,1
96339,74585,1
96409,74851,1
96427,74568,1
96843,74577,1
96857,74577,1
97317,73486,1
97557,73572,1
97694,73595,1
98273,74851,1
98943,73832,1
99050,74851,1
99074,74790,1
100056,73486,1
100227,74692,1
101463,73486,1
101503,74851,1
101818,73470,0.5
101818,73473,0.5
101956,73460,1
104333,74780,1
104404,74030,1
104416,73893,1
104417,73893,1
