CNPJ,EMPRESA,ENDEREÇO,NÚMERO,BAIRRO,CEP,MUNICÍPIO,UF,CNAE PRIMÁRIA,NATUREZA JURÍDICA
33786765000158,LV INDUSTRIA E COMERCIO DE ROUPAS LTDA,RUA CONDE DE AGROLONGO,677,PENHA,21020190,RIO DE JANEIRO,RJ,1411 - Confecção de roupas íntimas,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
71986756000280,LV SUSPENSOES INDUSTRIA E COMERCIO LTDA,RUA CORONEL NAUL DE AZEVEDO,179,JARDIM CRUZEIRO,04803070,SAO PAULO,SP,4530 - Comércio de peças e acessórios para veículos automotores,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
32331472000202,LVMH FASHION GROUP BRASIL LTDA.,RUA HADDOCK LOBO,1587,CERQUEIRA CESAR,01414003,SAO PAULO,SP,4782 - Comércio varejista de calçados e artigos de viagem,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
53943098000187,LWARCEL CELULOSE LTDA,RODOVIA JULIANO LORENZETTI,S/N,DISTRITO EMPRESARIAL,18685900,LENCOIS PAULISTA,SP,1710 - Fabricação de celulose e outras pastas para a fabricação de papel,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
02312640000162,L.W.P. GEMAS DO BRASIL LTDA - ME,AVENIDA SAO SEBASTIAO,1619,CAMPINHO,33400000,LAGOA SANTA,MG,4783 - Comércio varejista de jóias e relógios,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
54031828000217,LX INDUSTRIA E COMERCIO DE AUTO PECAS LTDA,AVENIDA DOUTOR PLINIO SALGADO,5087,CRUZEIRO,12906840,BRAGANCA PAULISTA,SP,2943 - Fabricação de peças e acessórios para o sistema de freios de veículos automotores,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01549974000191,LYMA COMERCIO DE PRODUTOS PARA ACAMPAMENTO LTDA,AVENIDA DAS NACOES UNIDAS,6917,ALTO DE PINHEIROS,05477901,SAO PAULO,SP,3230 - Fabricação de artefatos para pesca e esporte,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
80603855000146,LYNX PECAS E EQUIPAMENTOS LTDA,RUA MARCOS NICOLAU STRAPASSONI,454,AREA INDUSTRIAL RIAC,83430000,CAMPINA GRANDE DO SUL,PR,2869 - Fabricação de máquinas e equipamentos para uso industrial específico não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
64771082000150,LYONDELLBASELL BRASIL LTDA,AVENIDA PRESIDENTE JUSCELINO KUBITSCHEK,1600,VILA NOVA CONCEICAO,04543000,SAO PAULO,SP,"4684 - Comércio atacadista de produtos químicos e petroquímicos, exceto agroquímicos",206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
33469867000140,LYS ELECTRONIC LTDA,RUA SATURNO,45,VIGARIO GERAL,21241150,RIO DE JANEIRO,RJ,2631 - Fabricação de equipamentos transmissores de comunicação,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
01153259000135,LYS ELETRO COMPANY IMPORTACAO E EXPORTACAO LTDA,RUA PROFESSORA NICEIA TARDELLI,26,PAULAS E MENDES,18170000,PIEDADE,SP,4649 - Comércio atacadista de equipamentos e artigos de uso pessoal e doméstico não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
02013022000111,M & G INTERNATIONAL COMERCIO IMPORTACAO E EXPORTACAO LT,RUA EDMUNDO DE AMICIS,250,VL SAO PEDRO,81810160,CURITIBA,PR,4774 - Comércio varejista de artigos de óptica,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
84259233000101,M & N COMERCIAL LTDA - ME,AVENIDA GOVERNADOR JOSE MALCHER,2200,SAO BRAZ,66060230,BELEM,PA,4751 - Comércio varejista especializado de equipamentos e suprimentos de informática,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
44061034000161,M A EXPORTACAO INDUSTRIA E COMERCIO LTDA - ME,RUA JENER,44,LIBERDADE,01526030,SAO PAULO,SP,2229 - Fabricação de artefatos de material plástico não especificados anteriormente,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
02105750000153,M. B. DA SILVA CANDIDO,RUA HELGA PORT,26,LINHA 28,95660000,TRES COROAS,RS,1539 - Fabricação de calçados de materiais não especificados anteriormente,213 - FIRMA MERCANTIL INDIVIDUAL
65890832000176,M B P COMERCIO E IMPORTACAO LTDA,RUA LUIS GOIS,1915,MIRANDOPOLIS,04043400,SAO PAULO,SP,4110 - Incorporação de empreendimentos imobiliários,206 - SOCIEDADE POR COTAS DE RESPONS. LIMITADA-EMPRESA PRIVADA
