id,nome_eleitoral,sg_partido,uf,faltou,partido_liberou,nao_seguiu,seguiu,total_votacoes,aderencia
204476,CHIQUINHO BRAZÃO,AVANTE,RJ,1,1,2,7,9,77.77777777777779
204462,CHRIS TONIETTO,PSL,RJ,0,2,1,8,9,88.88888888888889
204440,CHRISTINO AUREO,PP,RJ,0,2,1,8,9,88.88888888888889
204376,CORONEL ARMANDO,PSL,SC,2,2,1,6,7,85.71428571428571
204378,CORONEL CHRISÓSTOMO,PSL,RO,1,2,1,7,8,87.5
204514,CORONEL TADEU,PSL,SP,2,1,1,7,8,87.5
135054,CRISTIANO VALE,PL,PA,1,1,1,8,9,88.88888888888889
204355,DA VITORIA,CIDADANIA,ES,2,2,1,6,7,85.71428571428571
204367,DANIEL FREITAS,PSL,SC,2,0,1,8,9,88.88888888888889
204454,DANIEL SILVEIRA,PSL,RJ,0,2,1,8,9,88.88888888888889
204409,DANIEL TRZECIAK,PSDB,RS,1,1,0,9,9,100
204459,DANIELA DO WAGUINHO,MDB,RJ,1,1,2,7,9,77.77777777777779
116379,DARCI DE MATOS,PSD,SC,0,2,0,9,9,100
205548,DAVID MIRANDA,PSOL,RJ,6,2,1,2,3,66.66666666666666
204511,DAVID SOARES,DEM,SP,1,2,2,6,8,75
204451,DELEGADO ANTÔNIO FURTADO,PSL,RJ,0,2,2,7,9,77.77777777777779
204512,DELEGADO MARCELO FREITAS,PSL,MG,1,1,0,9,9,100
204569,DELEGADO PABLO,PSL,AM,5,0,0,6,6,100
204542,DENIS BEZERRA,PSB,CE,1,2,1,7,8,87.5
204518,DR. FREDERICO,PATRIOTA,MG,3,2,0,6,6,100
204481,DR. JAZIEL,PL,CE,6,0,0,5,5,100
204439,DR. LEONARDO,SOLIDARIEDADE,MT,1,1,2,7,9,77.77777777777779
204450,DR. LUIZ ANTONIO TEIXEIRA JR.,PP,RJ,1,1,1,8,9,88.88888888888889
204351,DR. LUIZ OVANDO,PSL,MS,6,2,0,3,3,100
204412,DR. ZACHARIAS CALIL,DEM,GO,1,1,2,7,9,77.77777777777779
81297,DRA. SORAYA MANATO,PSL,ES,0,2,1,8,9,88.88888888888889
204434,DRA. VANDA MILANI,SOLIDARIEDADE,AC,5,2,2,2,4,50
204562,EDILÁZIO JÚNIOR,PSD,MA,0,2,2,7,9,77.77777777777779
204421,EDNA HENRIQUE,PSDB,PB,11,0,0,0,0,NA
204541,EDUARDO BISMARCK,PDT,CE,3,0,2,6,8,75
204552,EDUARDO BRAIDE,PMN,MA,0,2,0,9,9,100
204500,EDUARDO COSTA,PTB,PA,3,1,3,4,7,57.14285714285714
204364,ELI BORGES,SOLIDARIEDADE,TO,6,0,0,5,5,100
204389,ELIAS VAZ,PSB,GO,2,1,1,7,8,87.5
198783,EMANUEL PINHEIRO NETO,PTB,MT,0,2,2,7,9,77.77777777777779
161550,EMIDINHO MADEIRA,PSB,MG,4,2,2,3,5,60
207309,ENÉIAS REIS,PSL,MG,2,0,0,9,9,100
204537,ENRICO MISASI,PV,SP,3,0,0,8,8,100
204482,EUCLYDES PETTERSEN,PSC,MG,5,2,0,4,4,100
68720,FÁBIO HENRIQUE,PDT,SE,1,1,2,7,9,77.77777777777779
204368,FABIO SCHIOCHET,PSL,SC,0,2,1,8,9,88.88888888888889
204477,FELÍCIO LATERÇA,PSL,RJ,3,1,0,7,7,100
204398,FELIPE FRANCISCHINI,PSL,PR,4,1,1,5,6,83.33333333333334
204371,FELIPE RIGONI,PSB,ES,2,2,0,7,7,100
204407,FERNANDA MELCHIONNA,PSOL,RS,3,1,5,2,7,28.57142857142857
204427,FERNANDO RODOLFO,PL,PE,1,2,2,6,8,75
204411,FILIPE BARROS,PSL,PR,2,1,1,7,8,87.5
204354,FLÁVIA ARRUDA,PL,DF,1,2,2,6,8,75
204447,FLORDELIS,PSD,RJ,5,0,0,6,6,100
204392,FRANCISCO JR.,PSD,GO,1,1,0,9,9,100
204510,FRANCO CARTAFINA,PP,MG,0,2,2,7,9,77.77777777777779
204494,FRED COSTA,PATRIOTA,MG,0,2,0,9,9,100
204393,FREI ANASTACIO RIBEIRO,PT,PB,7,0,4,0,4,0
74200,GASTÃO VIEIRA,PROS,MA,3,0,1,7,8,87.5
115746,GELSON AZEVEDO,PL,RJ,1,2,3,5,8,62.5
204473,GENERAL GIRÃO,PSL,RN,6,0,0,5,5,100
204484,GENERAL PETERNELLI,PSL,SP,0,2,1,8,9,88.88888888888889
204527,GENINHO ZULIANI,DEM,SP,2,0,2,7,9,77.77777777777779
204394,GERVÁSIO MAIA,PSB,PB,0,2,3,6,9,66.66666666666666
204575,GIL CUTRIM,PDT,MA,2,1,2,6,8,75
204491,GILBERTO ABRAMO,PRB,MG,2,2,1,6,7,85.71428571428571
204365,GILSON MARQUES,NOVO,SC,0,2,1,8,9,88.88888888888889
204419,GLAUSTIN FOKUS,PSC,GO,1,1,3,6,9,66.66666666666666
107283,GLEISI HOFFMANN,PT,PR,7,1,3,0,3,0
198197,GREYCE ELIAS,AVANTE,MG,5,0,0,6,6,100
204513,GUIGA PEIXOTO,PSL,SP,0,2,1,8,9,88.88888888888889
204531,GUILHERME DERRITE,PP,SP,0,2,0,9,9,100
204442,GURGEL,PSL,RJ,0,2,1,8,9,88.88888888888889
73460,GUSTAVO FRUET,PDT,PR,3,0,1,7,8,87.5
204408,GUSTINHO RIBEIRO,SOLIDARIEDADE,SE,11,0,0,0,0,NA
