congressperson_name,congressperson_id,twitter_profile,secondary_twitter_profile,facebook_page
LAUDIVIO CARVALHO,178894,laudivioc,laudivio,https://www.facebook.com/Laudiviocarvalho
LAURA CARNEIRO,74856,,,https://www.facebook.com/lauracarneirorio
LAUREZ MOREIRA,141479,laurezmoreira,,https://www.facebook.com/laurezmoreira
LAURIETE,160534,2010lauriete,,https://www.facebook.com/DeputadaFederalLauriete
LEANDRE,178832,Leandre4300,,https://www.facebook.com/LeandreOficial
LEANDRO VILELA,74367,leandrovilela15,,
LELO COIMBRA,141562,,,https://www.facebook.com/falecomlelo
LEO DE BRITO,178825,LeoDoPT,,https://www.facebook.com/leodopt1331
LEONARDO MONTEIRO,74156,depleomonteiro,,https://www.facebook.com/depleomonteiro
LEONARDO QUINTÃO,141482,leonardoquintao,,https://www.facebook.com/deputadoleonardoquintao
LEOPOLDO MEYER,160663,leopoldo_meyer,,https://www.facebook.com/MeyerFanPage
LEÔNIDAS CRISTINO,74299,leonidas9099,joseleonidas,https://www.facebook.com/Le%C3%B4nidas-Cristino-1271496449602306
LINCOLN PORTELA,74585,lincoln_portela,,https://www.facebook.com/deputadolincolnportela
LINDOMAR GARÇON,141483,depgarcon,,https://www.facebook.com/LindomarGarcon10
LOBBE NETO,74277,lobbeneto,,https://www.facebook.com/lobbenetopsdb
LUANA COSTA,81366,,,https://www.facebook.com/depLuanaCosta
LUCAS VERGILIO,178879,,,https://www.facebook.com/lucasvergilio7777
LUCI CHOINACKI,73474,lucichoinacki13,,https://www.facebook.com/lucichoinacki
LUCIANA SANTOS,160628,deputadaluciana,,https://www.facebook.com/deputadalucianaoficial
LUCIANO DUCCI,178931,LucianoDucci,,https://www.facebook.com/LucianoDucci
LUCIO MOSQUINI,178954,,,https://www.facebook.com/profile.php?id=100011438522684
LUCIO VIEIRA LIMA,94931,luciovl_,,https://www.facebook.com/lucio.vieiralima.1
LUIS CARLOS HEINZE,73483,deputadoheinze,,https://www.facebook.com/deputadoheinze
LUIS TIBÉ,160510,LuisTibeOficial,,https://www.facebook.com/luistibe
LUIZ ALBERTO,74133,depluizalberto,,https://www.facebook.com/deputadoluizalberto
LUIZ CARLOS,160645,depluizcarlos,,https://www.facebook.com/deputadoheinze
LUIZ CARLOS HAULY,73778,deputadoHauly,,https://www.facebook.com/luizcarlos.hauly.7
