cod_titulo,data_fim,data_inicio,email,id,id_frente,id_legislatura,nome,sigla_partido,sigla_uf,titulo,uri,uri_partido,url_foto,tema
1004,NA,NA,NA,160535,54012,56,MARCON,PT,RS,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160535,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160535.jpg,Ambientalista
1004,NA,NA,NA,160538,54012,56,BOHN GASS,PT,RS,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160538,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160538.jpg,Ambientalista
1004,NA,NA,NA,160541,54012,56,ARTHUR LIRA,PP,AL,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160541,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/160541.jpg,Ambientalista
1004,NA,NA,NA,160556,54012,56,PADRE JOÃO,PT,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160556,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160556.jpg,Ambientalista
1004,NA,NA,NA,160558,54012,56,PAULO FREIRE COSTA,PL,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160558,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/160558.jpg,Ambientalista
1004,NA,NA,NA,160569,54012,56,WALDENOR PEREIRA,PT,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160569,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160569.jpg,Ambientalista
1004,NA,NA,NA,160570,54012,56,JERÔNIMO GOERGEN,PP,RS,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160570,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/160570.jpg,Ambientalista
1004,NA,NA,NA,160575,54012,56,ERIKA KOKAY,PT,DF,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160575,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160575.jpg,Ambientalista
1004,NA,NA,NA,160587,54012,56,FÁBIO TRAD,PSD,MS,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160587,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/160587.jpg,Ambientalista
1004,NA,NA,NA,160588,54012,56,DIEGO ANDRADE,PSD,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160588,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/160588.jpg,Ambientalista
1004,NA,NA,NA,160589,54012,56,BRUNA FURLAN,PSDB,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160589,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/160589.jpg,Ambientalista
1004,NA,NA,NA,160598,54012,56,FLÁVIA MORAIS,PDT,GO,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160598,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/160598.jpg,Ambientalista
1004,NA,NA,NA,160600,54012,56,ARTHUR OLIVEIRA MAIA,DEM,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160600,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,https://www.camara.leg.br/internet/deputado/bandep/160600.jpg,Ambientalista
1004,NA,NA,NA,160604,54012,56,PEDRO UCZAI,PT,SC,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160604,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160604.jpg,Ambientalista
1004,NA,NA,NA,160610,54012,56,VALMIR ASSUNÇÃO,PT,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160610,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/160610.jpg,Ambientalista
1004,NA,NA,NA,160619,54012,56,JOSÉ NUNES,PSD,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160619,https://dadosabertos.camara.leg.br/api/v2/partidos/36834,https://www.camara.leg.br/internet/deputado/bandep/160619.jpg,Ambientalista
1004,NA,NA,NA,160632,54012,56,ZÉ SILVA,SOLIDARIEDADE,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160632,https://dadosabertos.camara.leg.br/api/v2/partidos/37904,https://www.camara.leg.br/internet/deputado/bandep/160632.jpg,Ambientalista
1004,NA,NA,NA,160635,54012,56,RUY CARNEIRO,PSDB,PB,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160635,https://dadosabertos.camara.leg.br/api/v2/partidos/36835,https://www.camara.leg.br/internet/deputado/bandep/160635.jpg,Ambientalista
1004,NA,NA,NA,160639,54012,56,PROFESSORA DORINHA SEABRA REZENDE,DEM,TO,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160639,https://dadosabertos.camara.leg.br/api/v2/partidos/36769,https://www.camara.leg.br/internet/deputado/bandep/160639.jpg,Ambientalista
1004,NA,NA,NA,160640,54012,56,EROS BIONDINI,PROS,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160640,https://dadosabertos.camara.leg.br/api/v2/partidos/36763,https://www.camara.leg.br/internet/deputado/bandep/160640.jpg,Ambientalista
1004,NA,NA,NA,160641,54012,56,PROFESSORA MARCIVANIA,PCdoB,AP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160641,https://dadosabertos.camara.leg.br/api/v2/partidos/36779,https://www.camara.leg.br/internet/deputado/bandep/160641.jpg,Ambientalista
1004,NA,NA,NA,160653,54012,56,ROBERTO DE LUCENA,PODE,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160653,https://dadosabertos.camara.leg.br/api/v2/partidos/36896,https://www.camara.leg.br/internet/deputado/bandep/160653.jpg,Ambientalista
1004,NA,NA,NA,160655,54012,56,RICARDO IZAR,PP,SP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160655,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/160655.jpg,Ambientalista
1004,NA,NA,NA,160665,54012,56,AUGUSTO COUTINHO,SOLIDARIEDADE,PE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160665,https://dadosabertos.camara.leg.br/api/v2/partidos/37904,https://www.camara.leg.br/internet/deputado/bandep/160665.jpg,Ambientalista
1004,NA,NA,NA,160666,54012,56,FÉLIX MENDONÇA JÚNIOR,PDT,BA,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160666,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/160666.jpg,Ambientalista
1004,NA,NA,NA,160673,54012,56,GIOVANI CHERINI,PL,RS,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160673,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/160673.jpg,Ambientalista
1004,NA,NA,NA,160674,54012,56,HUGO MOTTA,REPUBLICANOS,PB,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/160674,https://dadosabertos.camara.leg.br/api/v2/partidos/37908,https://www.camara.leg.br/internet/deputado/bandep/160674.jpg,Ambientalista
1004,NA,NA,NA,162332,54012,56,LUIZ NISHIMORI,PL,PR,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/162332,https://dadosabertos.camara.leg.br/api/v2/partidos/37906,https://www.camara.leg.br/internet/deputado/bandep/162332.jpg,Ambientalista
1004,NA,NA,NA,171617,54012,56,PAULÃO,PT,AL,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/171617,https://dadosabertos.camara.leg.br/api/v2/partidos/36844,https://www.camara.leg.br/internet/deputado/bandep/171617.jpg,Ambientalista
1004,NA,NA,NA,171623,54012,56,FABIO REIS,MDB,SE,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/171623,https://dadosabertos.camara.leg.br/api/v2/partidos/36899,https://www.camara.leg.br/internet/deputado/bandep/171623.jpg,Ambientalista
1004,NA,NA,NA,177282,54012,56,SUBTENENTE GONZAGA,PDT,MG,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/177282,https://dadosabertos.camara.leg.br/api/v2/partidos/36786,https://www.camara.leg.br/internet/deputado/bandep/177282.jpg,Ambientalista
1004,NA,NA,NA,178831,54012,56,ANDRÉ ABDON,PP,AP,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/178831,https://dadosabertos.camara.leg.br/api/v2/partidos/37903,https://www.camara.leg.br/internet/deputado/bandep/178831.jpg,Ambientalista
1004,NA,NA,NA,178832,54012,56,LEANDRE,PV,PR,Membro,https://dadosabertos.camara.leg.br/api/v2/deputados/178832,https://dadosabertos.camara.leg.br/api/v2/partidos/36851,https://www.camara.leg.br/internet/deputado/bandep/178832.jpg,Ambientalista
