cnpj,id_parlamentar_voz,data_entrada_sociedade
07317144000115,1178984,2005-10-13
07317691000109,1204543,2008-03-03
07319900000145,1115746,2012-09-04
07330159000113,1160541,2005-04-19
07331796000104,174305,1983-12-06
07336829000109,1141470,2005-09-12
07370933000110,1204373,2005-05-05
07377845000140,1160655,2005-05-11
07398325000113,1204465,2005-03-03
07398330000126,1204465,2005-03-07
07398331000170,1204465,2005-01-14
07398346000139,1204465,2005-01-14
07408395000105,1204541,2005-10-13
07439157000167,1178854,2005-06-16
07450569000106,1204371,2007-07-16
07459045000178,1160604,2005-05-12
07477291000152,1204521,2005-06-16
07477492000150,1141428,2005-07-08
07505066000182,1204551,2005-07-18
07540366000100,1204549,2005-08-08
07551340000150,1204419,2005-08-19
07575156000140,1204450,2005-08-05
07575156000220,1204450,2005-08-05
07597594000109,1133439,1997-10-02
07607710000123,1205548,2005-08-24
07609065000188,192776,2005-09-26
07653148000174,1204403,2005-10-19
07654993000164,1178835,2005-09-30
07714359000170,173604,2005-10-24
07723127000188,1204397,2005-11-28
07733616000110,1134812,2005-10-26
07740169000127,1160666,2005-10-17
07749755000132,1204391,2005-12-19
07750347000109,1204543,2005-11-30
07750347000281,1204543,2005-11-30
07750347000362,1204543,2005-11-30
07760481000182,1204541,2007-03-28
07760481000263,1204541,2007-03-28
07767431000127,1204351,2006-01-02
07783364000134,1160667,2005-12-28
07822118000144,1204518,2012-04-25
07844124000100,1178896,2007-08-28
07889608000168,1204391,2006-03-10
07891147000168,1141431,2005-11-30
07936895000110,1204546,2006-03-21
07952322000180,1204575,2006-03-08
07956403000158,1178981,2013-03-13
07956403000239,1178981,2013-03-13
07973951000196,174305,1967-11-08
08013959000173,1204561,2006-04-28
08060153000136,1178934,2006-05-30
08088860000130,1204438,2011-07-08
08181122000133,1160666,2006-07-24
08268373000150,173433,2006-08-08
08271521000195,1141459,2005-09-23
08282818000156,1204438,2006-08-18
08445706000179,1204508,2006-11-20
08501819000144,1204438,1996-01-17
08512517000171,1141428,2006-12-06
08530540000199,1178909,2011-02-22
08546055000103,1204457,2006-12-11
08570293000154,25783,1996-05-14
08578238000100,1204415,2015-08-10
08605463000199,1204465,2007-01-25
08611589000176,192699,2007-01-25
08611589000257,192699,2007-01-25
08628855000173,1204372,2008-01-10
08682075000101,1204372,2008-06-10
08682075000292,1204372,2008-06-10
08706281000104,1204463,2007-01-18
08735575000164,1160666,2007-02-28
08754414000118,1204390,2007-03-28
08771581000177,1204366,2007-03-12
08799197000182,1204391,2007-04-25
08824330000103,1178896,2008-03-24
08847334000107,1160601,2006-07-24
