cnpj,id_atividade_economica,cnae_tipo
04822976000109,39,cnae_fiscal
04822976000109,39,cnae_secundario
04845177000140,11,cnae_fiscal
04845177000140,10,cnae_secundario
04845177000140,8,cnae_secundario
04845177000140,11,cnae_secundario
04845177000220,11,cnae_fiscal
04845177000220,11,cnae_secundario
04845177000301,11,cnae_fiscal
04845177000301,11,cnae_secundario
04865568000126,11,cnae_fiscal
04865568000207,11,cnae_fiscal
04865568000207,11,cnae_secundario
04865568000207,4,cnae_secundario
04865568000207,5,cnae_secundario
04865568000398,11,cnae_fiscal
04865568000398,11,cnae_secundario
04865568000398,4,cnae_secundario
04865568000398,5,cnae_secundario
04865568000479,11,cnae_fiscal
04865568000479,11,cnae_secundario
04865568000550,11,cnae_fiscal
04865568000550,4,cnae_secundario
04865568000550,11,cnae_secundario
04865568000630,11,cnae_fiscal
04865568000630,11,cnae_secundario
04874170000156,39,cnae_fiscal
04987987000130,11,cnae_fiscal
04987987000130,47,cnae_secundario
04987987000130,11,cnae_secundario
04987987000211,11,cnae_fiscal
05003472000111,14,cnae_fiscal
05013973000189,43,cnae_fiscal
05016048000101,6,cnae_fiscal
05016048000101,6,cnae_secundario
05016048000101,10,cnae_secundario
05016048000101,39,cnae_secundario
05022973000145,47,cnae_fiscal
05022973000145,47,cnae_secundario
05032895000160,10,cnae_fiscal
05059983000155,11,cnae_fiscal
05119218000183,11,cnae_fiscal
05119218000183,11,cnae_secundario
05143490000107,39,cnae_fiscal
05191582000154,43,cnae_fiscal
05201377000122,8,cnae_fiscal
05203221000180,6,cnae_fiscal
05203221000180,6,cnae_secundario
05203221000180,10,cnae_secundario
05203221000180,39,cnae_secundario
05219966000138,43,cnae_fiscal
05245892000104,2,cnae_fiscal
05257678000178,11,cnae_fiscal
05257678000178,11,cnae_secundario
05289159000191,9,cnae_fiscal
05309439000114,18,cnae_fiscal
05309439000114,7,cnae_secundario
05309439000203,18,cnae_fiscal
05309439000203,7,cnae_secundario
05332944000180,11,cnae_fiscal
05380118000106,13,cnae_fiscal
05380118000106,6,cnae_secundario
05380118000106,3,cnae_secundario
05380118000106,13,cnae_secundario
05380118000106,47,cnae_secundario
05392477000183,47,cnae_fiscal
05407491000103,9,cnae_fiscal
05407491000103,9,cnae_secundario
05407491000103,11,cnae_secundario
05407491000103,13,cnae_secundario
05407491000103,2,cnae_secundario
05407491000294,11,cnae_fiscal
05407491000294,11,cnae_secundario
05415996000110,11,cnae_fiscal
05429222000148,11,cnae_fiscal
05429222000148,11,cnae_secundario
05433691000130,47,cnae_fiscal
05438392000199,6,cnae_fiscal
05438392000199,6,cnae_secundario
05465524000171,39,cnae_fiscal
05483738000170,43,cnae_fiscal
05483738000170,43,cnae_secundario
05496342000168,1,cnae_fiscal
05504993000152,47,cnae_fiscal
05504993000152,11,cnae_secundario
05504993000152,28,cnae_secundario
05504993000233,28,cnae_fiscal
05504993000233,11,cnae_secundario
05504993000233,28,cnae_secundario
05504993000314,47,cnae_fiscal
05504993000314,11,cnae_secundario
05504993000314,28,cnae_secundario
05508737000133,1,cnae_fiscal
05509227000180,13,cnae_fiscal
05509227000180,13,cnae_secundario
05531281000122,9,cnae_fiscal
05565438000130,11,cnae_fiscal
05565438000211,11,cnae_fiscal
05565438000300,11,cnae_fiscal
05565438000300,47,cnae_secundario
05565438000300,11,cnae_secundario
05588203000164,13,cnae_fiscal
05588203000164,13,cnae_secundario
05606723000152,9,cnae_fiscal
05616225000190,10,cnae_fiscal
05616225000190,8,cnae_secundario
05649712000150,35,cnae_fiscal
05649712000150,6,cnae_secundario
05649712000150,14,cnae_secundario
05649712000150,13,cnae_secundario
05649712000150,11,cnae_secundario
05652107000138,39,cnae_fiscal
05652107000138,6,cnae_secundario
05652107000138,39,cnae_secundario
05652107000219,11,cnae_fiscal
05652107000308,6,cnae_fiscal
05652107000308,6,cnae_secundario
05652107000308,10,cnae_secundario
05652107000308,39,cnae_secundario
05674895000163,14,cnae_fiscal
05688943000172,43,cnae_fiscal
05718967000127,2,cnae_fiscal
05718967000127,2,cnae_secundario
05726377000146,31,cnae_fiscal
05726377000227,31,cnae_fiscal
05754464000107,6,cnae_fiscal
05757605000145,9,cnae_fiscal
05757605000145,8,cnae_secundario
05779274000144,13,cnae_fiscal
05779274000144,13,cnae_secundario
05792326000112,14,cnae_fiscal
05795014000162,11,cnae_fiscal
05804594000107,11,cnae_fiscal
05807905000191,11,cnae_fiscal
05807905000191,11,cnae_secundario
05808250000176,5,cnae_fiscal
05817840000165,10,cnae_fiscal
05861738000167,11,cnae_fiscal
05861738000248,11,cnae_fiscal
05861738000329,11,cnae_fiscal
05956605000174,9,cnae_fiscal
05956605000174,9,cnae_secundario
05956605000174,13,cnae_secundario
05973108000184,9,cnae_fiscal
05973108000184,8,cnae_secundario
06016708000117,13,cnae_fiscal
06026563000135,14,cnae_fiscal
06078098000186,39,cnae_fiscal
06078098000186,39,cnae_secundario
06078098000186,10,cnae_secundario
06094165000156,11,cnae_fiscal
06100109000187,11,cnae_fiscal
06100109000187,11,cnae_secundario
06103050000180,10,cnae_fiscal
06103050000180,14,cnae_secundario
06104592000178,11,cnae_fiscal
06104669000100,11,cnae_fiscal
06104669000100,11,cnae_secundario
06104669000290,11,cnae_fiscal
06104669000290,11,cnae_secundario
06138220000162,11,cnae_fiscal
06167010000100,5,cnae_fiscal
06167010000100,6,cnae_secundario
06167010000100,4,cnae_secundario
06167010000100,5,cnae_secundario
06179652000111,5,cnae_fiscal
06179652000111,5,cnae_secundario
06179652000111,6,cnae_secundario
06179797000112,10,cnae_fiscal
06179797000112,6,cnae_secundario
06179797000112,10,cnae_secundario
06179797000112,9,cnae_secundario
06179797000112,8,cnae_secundario
06180348000194,11,cnae_fiscal
06180348000194,11,cnae_secundario
06182584000140,2,cnae_fiscal
06271830000130,43,cnae_fiscal
06271830000130,43,cnae_secundario
06273472000102,4,cnae_fiscal
06305377000135,43,cnae_fiscal
06305377000135,43,cnae_secundario
06323694000184,8,cnae_fiscal
06332023000180,11,cnae_fiscal
06332023000180,11,cnae_secundario
06332023000180,43,cnae_secundario
06332023000180,39,cnae_secundario
06332023000260,11,cnae_fiscal
06332023000341,11,cnae_fiscal
06332023000341,11,cnae_secundario
06332023000422,11,cnae_fiscal
06332023000422,11,cnae_secundario
06332023000422,43,cnae_secundario
06332023000422,39,cnae_secundario
06332023000503,11,cnae_fiscal
06332023000503,11,cnae_secundario
06332023000503,43,cnae_secundario
06332023000503,39,cnae_secundario
06332023000694,11,cnae_fiscal
06332023000694,11,cnae_secundario
06332023000694,43,cnae_secundario
06332023000694,39,cnae_secundario
06579213000104,43,cnae_fiscal
06579213000104,43,cnae_secundario
06634260000103,43,cnae_fiscal
06770471000165,43,cnae_fiscal
06772972000180,43,cnae_fiscal
06779713000181,43,cnae_fiscal
06779900000165,43,cnae_fiscal
06785546000181,43,cnae_fiscal
06815763000177,43,cnae_fiscal
06852558000181,43,cnae_fiscal
06858618000173,39,cnae_fiscal
06869337000116,43,cnae_fiscal
06886057000116,10,cnae_fiscal
06989814000187,14,cnae_fiscal
07034022000111,5,cnae_fiscal
07047545000100,39,cnae_fiscal
07047545000100,11,cnae_secundario
07047545000100,43,cnae_secundario
07047545000100,39,cnae_secundario
07052234000121,4,cnae_fiscal
07057297000170,43,cnae_fiscal
07057297000170,43,cnae_secundario
07066686000162,13,cnae_fiscal
07076337000121,10,cnae_fiscal
07078342000173,43,cnae_fiscal
07078342000173,43,cnae_secundario
07089526000139,8,cnae_fiscal
07096014000108,2,cnae_fiscal
07096014000280,2,cnae_fiscal
07096014000361,2,cnae_fiscal
07096014000442,2,cnae_fiscal
07096014000523,2,cnae_fiscal
07098706000187,13,cnae_fiscal
07098706000187,8,cnae_secundario
07098706000187,9,cnae_secundario
07113342000167,11,cnae_fiscal
07113342000167,47,cnae_secundario
07113342000167,11,cnae_secundario
07138772000133,14,cnae_fiscal
07159521000135,14,cnae_fiscal
07163194000195,10,cnae_fiscal
07192864000100,43,cnae_fiscal
07223868000108,45,cnae_fiscal
07223868000108,45,cnae_secundario
07234927000135,11,cnae_fiscal
07234927000216,11,cnae_fiscal
07241287000190,10,cnae_fiscal
07241287000190,6,cnae_secundario
07249030000185,2,cnae_fiscal
07260578000126,9,cnae_fiscal
07260578000126,9,cnae_secundario
07267942000180,39,cnae_fiscal
07267942000180,39,cnae_secundario
07285724000178,14,cnae_fiscal
07289329000163,11,cnae_fiscal
07289329000163,6,cnae_secundario
07289329000163,11,cnae_secundario
07289329000244,11,cnae_fiscal
07289329000244,11,cnae_secundario
07314275000149,10,cnae_fiscal
07314275000149,39,cnae_secundario
07315079000199,11,cnae_fiscal
07315079000199,11,cnae_secundario
07317144000115,9,cnae_fiscal
07317691000109,8,cnae_fiscal
07317691000109,6,cnae_secundario
07319900000145,6,cnae_fiscal
07319900000145,6,cnae_secundario
07319900000145,11,cnae_secundario
07330159000113,8,cnae_fiscal
