id,resposta,id_parlamentar_voz,pergunta_id
6705,0,1141553,0
6733,0,1204506,0
6740,0,1160655,0
6772,0,1178980,0
6811,0,1204531,0
6824,0,1178973,0
6841,0,1195581,0
6870,0,1160601,0
6892,0,1204504,0
6910,0,1204526,0
6919,0,1204511,0
6928,0,166828,0
6936,0,1196378,0
6962,0,1204544,0
6970,0,1204513,0
6987,0,1160667,0
6994,0,174784,0
7025,0,173805,0
7058,0,1204532,0
7094,0,1141560,0
7095,0,173437,0
7116,0,173433,0
7133,0,1178972,0
7135,0,174270,0
7137,0,174787,0
7145,0,1160976,0
7183,0,173584,0
7198,0,1204537,0
7222,0,1204521,0
7235,0,1204527,0
7241,0,1160544,0
7257,0,1178977,0
7261,0,173441,0
7266,0,173553,0
7283,0,174273,0
7303,0,174275,0
7306,0,1178982,0
7317,0,1141518,0
7321,0,1178990,0
7328,0,1141488,0
7332,0,1204485,0
7343,0,1178988,0
7350,0,1204516,0
7402,0,1160545,0
7421,0,1204484,0
7447,0,1118594,0
7485,0,1204540,0
7497,0,173531,0
7520,0,1178993,0
7526,0,1178994,0
7529,0,1204364,0
7541,0,1204370,0
7544,0,1160639,0
7561,0,1141480,0
7570,0,1137070,0
7577,0,1143084,0
7581,0,1204363,0
7628,0,1204507,0
7678,1,1160535,0
7707,1,1114941,0
7759,0,1178887,0
7761,0,174160,0
7921,1,1178985,0
7933,0,1194592,0
7963,1,1204535,0
8001,1,1160665,0
8012,0,1195997,0
8014,0,1204519,0
8092,1,1178979,0
8106,-1,1204452,0
8111,0,1196359,0
8193,0,173793,0
8223,1,1164359,0
8236,1,173466,0
8240,1,1178986,0
8270,1,1204509,0
8273,1,1160538,0
8325,1,1178910,0
8343,1,1204407,0
8355,1,1160508,0
8367,0,1211866,0
8392,1,1204534,0
8449,0,1204410,0
8452,1,1204371,0
8464,1,1204503,0
8471,0,1204543,0
8560,1,1178912,0
8562,1,1157130,0
8563,0,1178825,1
8567,0,1178837,1
8572,0,173943,1
8576,0,1204471,1
8577,0,1204434,1
8578,0,1141434,1
8583,0,1178838,1
8594,0,1204435,1
8602,0,1160613,1
8630,0,1178839,1
8633,0,1204469,1
8634,0,1178836,1
8646,0,1204438,1
8651,0,1178844,1
8652,0,1204466,1
8653,0,1204436,1
8654,0,1194340,1
8667,0,1178845,1
8681,0,1204437,1
